English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
Udham Singh is also present there and realizes that Sahil is not the real murderer after noticing his strong resolve.,"""???? ??? ???? ?? ?? ???? ???? ?? ?? ????? ??? ??????? ???? ???",20,14,6
"""The change must come from society.",????? ???? ??? ??? ?????.,6,5,1
You are here Home India cricket team,"?? ???? ??? : Home » ??????? ?????? , ??? ??? , ????????? » ?????? ??????? ??? ?????????? ??????",7,19,12
"""The value of the seized ganja has been estimated at Rs 17 lakhs.",????? ???? ?? ???? 17 ??? ???? ???? ?? ???,13,10,3
"To improve its services delivery machinery, ESI Corporation had earlier taken decision to form Subsidiary Corporation/Society at State Level",???? ???? ????? ?????? ??? ????? ???? ?? ??? ????? ???? ?? ???? ????? ???? ?? ????? ????/??????? ????? ?? ?????? ???? ??,19,23,4
India is the largest user of groundwater in the world.,???? ?????? ??? ???? ?????? ???? ?? ???????? ???? ??.,10,10,0
"""The price band for the share sale has been fixed at Rs 145-149.",?????? ?? ??? ???? ????? 145-149 ????? ?? ???? ??? ???,13,11,2
"Determined to wrest Karnataka from Congress, the BJP is making all out efforts to woo voters in the state.",??????? ?? ????? ?? ???????? ?? ????? ???? ?? ??? ?? ???? ????? ?? ??? ?? ?? ??????? ???? ???? ?? ?? ???,19,23,4
"""The GCCS 2017 is certainly in accord with the Honble Prime Ministers vision to transform India into a digitally empowered country.GCCS 2017 will give the worlds cyber community a unique opportunity to learn from global experience and expert insight, and discover more about the technology led transformation being engineered in India.As India is poised to become a US$1 Trillion digital economy and lead the digital revolution in the world, it is imperative to formulate and put across a robust cyber space.","???????? ????????, ?? ??? ?????? ???????? ?????? ??. ???? ????? ?? ??? ?? ?? ???????????? ???? ????????? ???? ?? ???????? ???????? ?? ??? ?????? ????? ?? ?? ???????? ??? ??? ?????? ?? (??????) ?????????, 2017 ?? ????? ?? ?? ????? ?? ??? ?? ????????? ??? ???? ?? ???? ?? ?? ????? ?? ??????? ?? ????? ??? ??? ???? ?? ??? ???? ?? ?? ?????? ???? ?????? ????? ?? ??? ??????/?????? ????? ?? ????????? ?? ??? ?????? ?? ?? ????",,,0
He brought the cash to his vehicle.,?? ???? ???? ???? ??? ??? ?? ???,7,8,1
"So, having experimented in all sorts of remote places, I came to the most remote place that I could think of.","?? ?? ??? ?? ???-???? ????? ?? ?????? ???? ?? ???, ??? ??? ??? ?? ??? ?? ???? ?????? ??? ???? ???-???? ??? ??.",21,24,3
Singer Kanika Kapoor on Friday tested positive for coronavirus.,?????? ?? ?? ????? ???? ?? ???????? ?? ??????????? ?? ????? ??? ???,9,13,4
"And what this line of code on the right will do is, it will use Octaves highly optimized numerical linear algebra routines to compute this inner product between the two vectors, theta and X, and not only is the vectorized implementation simpler, it will also run much more efficiently.","?? ?? ???? ??? ?? ???? ???? ?? ????? ?? ??, ?? ???????? ????? ????? ?? ???? ???????????? ???????? ?????? ????????? ??????? ???????? ???? ?? ??? ?? ??? ???????? ?? ???????? ?? ??? ???, ???? ?? x, ?? ? ???? ?? ??????????? ????????????? ????, ?? ?? ????? ???? ?????? ??.",49,50,1
"Abis Rizvi, 49, Indian businessman and film producer (Roar: Tigers of the Sundarbans), shot.","? – ???? ????? (??? ?? ????) ?????? ?????? ?? ?????? ???????? (???: ??????? ??? ? ????????), ???????? ?? ?????",14,20,6
But blood group A or B may not be given to blood group O as the latter 's serum contains both anti - A and anti - B antibdies.,B ???? ?? ???? O ???? ?? ????? ?? ???? ???? ?? ???? ??????? ?? ???? ?? ???? ??? A ?????? ??? B ?????? ????? ????????? ??????? ???? ????,29,29,0
Also read: Nitin Gadkari on 2019 Lok Sabha polls: 'Have Congress worker's support',?????? ????? 2019: ????? ????? ?? PM ?? ?? ?????????? ?? ???? ??? ???? ???,13,15,2
We have forgotten to issue notice.,"??? ?? ???, ‘‘?? ????? ???? ???? ??? ??? ???",6,10,4
But thats how the game is.,????? ??? ?? ?????? ?? ??? ??.,6,7,1
At second spot in the list is former Pakistan cricketer Shahid Afridi with 25 sixes.,????????? ??????? ??? ?? ????? ???????? ????? ?????? ?? ???? ????????? ??? ? ?? ????,15,15,0
Antrix is the commercial arm of ISRO and Devas is a private firm and the controversial deal has since been annulled.,????????? ???? ?? ????????? ???? ?? ?? ????? ?? ???? ?????.,21,11,10
Sheila Dikshit served three consecutive terms as Delhi Chief Minister.,???? ??????? ?????? ?? ??? ??? ??????????? ?? ???? ??.,10,10,0
This season is said to be one of the most successful seasons of Bigg Boss so far.,??? ??? ?? ?? ???? ???? ???? ??? ?? ???? ?????? ??? ???? ?? ??? ??.,17,16,1
"""The book titled Radio Kashmir In Times of Peace War has emanated from an extensive and intensive research by the author on the significant role played by the media in safeguarding the strategic interest of the Government and the masses by addressing the core issues concerning the welfare and security of a nation.",?????? ??????- ?? ?????? ?? ??? ??? ??? ???? ?????? ???? ?? ??????? ??? ?? ?????? ?? ??? ???? ?? ??? ?? ?????? ??? ??????? ?????? ??????? ??????? ?? ???????? ????? ?? ???? ?? ??????? ????? ?? ???????? ????? ??? ?????? ?????? ????? ?? ??? ?????? ?? ???????? ???? ???,,50,50
"""""""The reason I'm here tonight is to put people on the spot,"""" Paul said.""","??? ?? ???, ‘?? ??? ???? ???? ???? ?? ???? ????? ?? ???????? ?? ??? ????? ???? ???",14,18,4
"""The programme was pre-set.",?? ????????? ???? ?? ?? ?? ??? ??.,,8,8
"Anil Kapoors son Harshvardhan Kapoor and Sara Ali Khan, daughter of Amrita Singh and Saif Ali Khan, have been rumoured to be dating.",??? ??? ??? ?? ???? ???? ?? ??? ???? ???? ???? ?? ???? ?????????.,23,14,9
"New Delhi/Mumbai, Jan 29","???? ??????, 29 ????? (???)",,5,5
During this,?? ????? ???…,,,0
"Prime Ministers Council on Climate Change has been constituted to coordinate national action for assessment, adaptation and mitigation of climate change.","?????? ???????? ?? ????????? , ??????? ?? ????????? ?? ????????? ????? ?? ??????? ???? ?? ??? ?????? ???????? ?????? ???????????? ????? ?? ??? ???? ??? ?? ?",21,27,6
"Missing (Virat) Kohli, missing (Murali) Vijay and (Jayant) Yadav cost us dearly, he said.","(?????) ?????, (?????) ???? ?? (????) ???? ?? ??? ?????? ???? ????",14,12,2
"""The people have rejected the other parties and have voted in large numbers in favour of BJP candidates, he said.",???????? ??? ?? ?????? ?? ?? ?? ??? ????? ?? ??? ???? ????? ???????????? ?? ?????? ??? ??? ????,20,19,1
"Now we are doing it, he had said.",???????? ??? ?? ???? ??? ???? ????,8,7,1
Additional PM Kisan helpline number: 0120-6025109,???? ????? ?? ?? ?? ????????? ??: 0120-6025109,6,8,2
"As per available information, 20 States and 2 Union Territories have anti-beggary laws as shown in the table below.","??????? ????? ?? ??????, 20 ???????? ?? 2 ??? ?????? ????????? ??? ??????????????? ????? ????? ??? ???? ??? ?????? ??? ????? ??? ???",19,23,4
"Does it hurt? What operation is it? They talk about an operation, but I don 't understand.","???? ???? ????? ??? ???? ?????? ?? ??? ?? ?? ?????? ?? ???? ??? ??? ???? ???, ????? ???? ??? ???? ???. ??????? ?? ????? ??. ?? ???? ???",17,29,12
"Rajasthan Government has decided to keep close all schools, colleges, coaching centers, gyms, cinemas and theaters etc.","????? ??? ??? ?????, ?????????????, ????????, ??? ?? ???? ???? ??? ?? ??? ?? ????",17,15,2
Candidates can also apply online.,???? ????? ????????? ?????? ??? ??? ?? ????? ?? ???? ???.,5,11,6
"""The Minister said that 22nd National Conference on e-Governance was held in Shillong recently, which was jointly organised by the Department of Administrative Reform Public Grievances (DARPG), Government of Meghalaya and Ministry of Electronics and Information Technology (MeitY), Government of India.","????????? ???? ?? ??? ?? ?-???????? ?? 22 ??? ????????? ??????? ??? ?? ??? ?????? ??? ?????? ???? ??? ??, ???? ??????? ??? ?? ????????? ????? ?? ??? ?????? ?????, ?????? ????? ?? ?????????????? ?? ????? ???????????? ???????? ?????? ?????? ???? ??? ???",41,43,2
"""The phase-I of ISSNIP will roll out ICT-RTM through one Lakh Anganwadi Centers (AWCs) in 162 high burden districts of eight participating States.",??????????????? ??? ?? 8 ???????? ?? ???????? ??? ???? 162 ????? ??? ??????????????? ????? ??? (?????) ?????? ????? ???????? ???????????? ?? ???????????? ?? ??? ???,23,25,2
Officials did not rule out more calls between Obama and Modi as the negotiations enter last phase.,??????????? ?? ????? ??? ??? ??????? ?? ???????? ?????????? ?? ????? ?? ???? ?? ??? ??? ?? ?? ??? ???? ?? ????? ???? ?????,17,24,7
"A case has been registered in this regard, police said.",????? ?? ??????? ?? ????? ??? ????? ???? ?? ???? ??? ???,10,12,2
All of you are also witnessing how the most advanced countries of the world have been rendered absolutely helpless by this pandemic.,"???????? ???, '?? ??? ??? ??? ??? ?? ???? ?????? ?? ???? ????? ????? ?? ?? ?? ??????? ?? ??????? ???? ?? ???? ???",22,24,2
"""Among the cities that have already been declared """"City of Literature"""" includes Baghdad (Iraq), Milan (Italy), Norwich (UK), Edinburgh (Scotland), Prague (Czech Republic), Melbourne (Australia), Granada and Barcelona (Spain), IOWA City (USA), Dublin (Ireland), Krakow (Poland), Raykjavic (Iceland), Heidelberg (Germany) and Quebec (Canada).""","???? ??? ??? ????? ?? ‘???? ?? ???????’ ????? ???? ??? ?? ????? ????? (????), ????? (????), ???????? (?????????), ????? (??? ???????), ??????? (???????????), ??????? ?? ?????????? (?????), ????? (???????), ????? ???? (???????), ??????? (??????), ????????? (??????) ?? ??????? (?????) ????? ???.",43,42,1
De Villiers returned for the ODI series and also took over the gloves while Boucher was recovering.,?????????? ?? ???? ???????? ?? ??? ????? ?? ?? ??????? ?? ??? ???? ????? ????? ??? ?? ??? ???,17,19,2
NEW DELHI: Crown Prince of Abu Dhabi Sheikh Mohamed bin Zayed Al Nahyan will be the chief guest at the Republic Day parade next year.,??????? ?? ?????? ??????? ??? ????? ?? ?????? ???? ???? ???? ?? ??????? ???? ???? ??? ????? ????? ??????,25,19,6
BJP behemoth,?????? ?? ??????????,,,0
"In time, he became involved in unscriptural conduct, resulting in his being no longer a part of the Christian congregation. 1 Corinthians 5: 11 - 13.","??? ??? ???, ?? ?????????? ?????? ??? ???????????? ?? ???, ????? ?????? ?? ??? ?? ?? ??? ????? ??????? ?? ??? ???? ??? ? — ? ??????????? ?: ?? - ??.",26,31,5
"Subhash Kapoor12, the apex Court observed that if any advocate claims that his right to strike must be without any loss to him, but the loss must only be borne by his innocent client, such a claim is repugnant to any principle of fair play and canons of ethics.","5 ??? ???????? ????. ??. ???? ????-???? ???? ????? ??? ???????? ???????? ?? ?? ?? ?????? ???? ?? ??? ??? ???????? ?? ???? ???? ?? ?? ???? ?????? ???? ?? ?????? ??? ??? ???? ?????? ???? ???? ?????, ????? ???? ???? ???? ??????-???????? ?? ??? ???? ?????, ?? ??? ???? ?????????? ??????? ?? ???? ???????? ?? ??????? ?? ???????? ?? ??????? ??| ????? ?? ?? ?????? ?? ???????? ?? ???-??? ?? ?????? ????? ?? ?? ?? ?? ?? ??? ?? ?? ?????? ????? ???? ???????? ?? ??? ???? ???? ?? ??? ???? ?? ??? ????? ???? ????? ????? ???? ????? ?? ???? ??????? ?? ??? ?? ???????? ?? ????? ?? ?? ???? ????? ?? ???????? ?? ????? ??? ???????? ????? ?",,,0
PM lays foundation stone for urban infrastructure projects. witnesses experience sharing by beneficiaries of welfare schemes. addresses public meeting in Jaipur,???????????? ?? ???? ???????? ????? ?? ?????????? ?? ????????? ???? . ?????????? ??????? ?? ??????????? ?????? ???? ?? ??????? ?? ???? ???? . ????? ??? ????????? ???? ?? ??????? ????,21,30,9
"""These are the documents needed to get one",?? ?? ???? ??????? ????????,8,5,3
"Taliban prisoners will be freed if talks start, violence reduced","?????? ???? ????, ????? ??? ??? ??? ?? ??????? ???? ???? ?????",10,12,2
Hail storm damages crops,????? ????-????? ?? ???? ????? ?? ???,,7,7
Strict action will be taken against persons doing so.,????? ?? ????? ???? ???????? ????.,9,6,3
"Koliwad is a village in the Hubli taluk of Dharwad district in the state of Karnataka, India.","????? ???, ??? ????? ??? ???? ?? ?????????? ????? ?? ???????? ?????? ????? ?? ????? ???? ?? ?? ???? ???",17,20,3
Thats the question.,??? ???? ????? ????,,,0
Red hot priority demand,??? ?????? ????,,,0
"""The Government of India and the World Bank have signed a Credit Agreement of around 4,600 Crore rupees with a view to strengthen the implementation of National Rural Livelihoods Mission, NRLM, by supporting specific additional investments.",???? ????? ?? ????? ???? ?? ???????? ?? ??????????? ?? ????? ????? ?? ??? ??????? ???????? ????? ?? ?????? ?? ???? 4600 ????? ???? ?? ?? ???? ?? ????????? ??? ????,36,31,5
"If Pakistan has launched an undeclared war on us, whats our response?","???????? ??? ?? ??? ????????? ?? ????? ??? ?? ?????? ????? ???? ???? ??, ?? ????? ??????????? ???? ???",12,19,7
You 're going too fast.,??? ??? ??????? ?? ???? ?? ??? ???,5,8,3
"This was stated by Sh. Piyush Goyal, Minister of state for Power, Coal & New and Renewable Energy (IC) in a written reply to a question in the Rajya Sabha today.","???????, ????? ?? ???? ??? ???????? ????? ?????? ?????? (????????? ??????) ?? ?? ?????? ??? ??? ?? ??????? ?? ????? ?????? ??? ?? ??????? ???",31,25,6
Police have filed a case under the IT Act on the woman's complaint.,??????? ???? ????? ?? ????? ?? ?? ?????? ?? ????? ?? ????? ???? ???? ?? ??? ????? ???? ???? ???,13,20,7
Delhi Chief Electoral Officer Ranbir Singh.,?????? ?? ????? ????? ?????? ????? ???? ?? ???? ???? ???? ??.,6,12,6
"But to compare PSL with IPL is not fair, he said.",????? ?????? ?? ??? ?????? ?? ????? ???? ???? ???? ???,11,11,0
"""The project is to be executed in the next two years",?? ???? ?????????? ?? ?? ??? ?? ?? ???? ??? ???? ???? ???,11,13,2
"Non-essential shops, schools and restaurants in Germany were closed and strict contact restrictions imposed.","?????? ??? ???-????? ???????, ????? ?? ???????? ??? ??? ?? ???? ?????? ???????? ???? ????",14,15,1
"""A 22-year-old man was arrested from Mumbai after he allegedly called up the NSG control room and warned of a """"chemical attack"""" on Prime Minister Narendra Modi.""",???????????? ???????? ???? ?? ‘???????? ????' ?? ???? ???? ?? ????????? ??????? ????? (??????) ?? ???????? ???? ??? ??? ???? ?? ???? ??? ????? ?? ????? ?? 22 ?????? ???? ?? ???????? ???? ???,27,34,7
"From Amethi, Rahul Gandhi faces Union minister and BJP leader Smriti Irani, who is re-contesting from the parliamentary constituency.",???????? ?????? ?? ?????? ?????? ?? ????? ?? ?????? ?????????? ??????? ????? ?? ?? ??? ??? ???????? ???????? ????? ????? ?? ???? ???? ???,19,24,5
He has been buried in Yerwada jail.,??? ??????? ??? ??? ????? ??? ???,7,7,0
"City Palace built up by 'Emperor Jaisingh II', a combination of 'Mughal' and 'Indian' architecture.",???? ????? ??????? ?????? II ?????? ?????? ??? ?? ?? ???? ?? ????????? ???????? ?? ?? ?????? ???,15,18,3
Many people said they had not received electricity bills for the last four months.,????? ?? ??? ?? ???? ?????????? ?? ????? ??? ??? ???? ??? ??? ????,14,14,0
"Dr Jitendra Singh and Shri Hansraj Gangaram Ahir expressed their gratitude for the financial assistance announced by State Government of JK, Gujarat and Maharashtra and Shri Amarnath Shrine Board to those killed and injured.","????????? ???? ?? ???? ??????? ???? ?? ???? ??? ???? ?? ????? ?? ??????? ?? ???? ?? ??? ?????????? ?????-??????, ?????? ??? ?????????? ????? ?? ?????????? ?????? ????? ?????? ????? ??????? ?????? ?? ????? ???? ?????? ?????",34,37,3
First Daughter Ivanka Trump met them at the competition venue in the morning.,??????? ????? ?? ???? ?????? ????? ???? ??????????? ???? ?? ???? ???? ??????,13,13,0
Her father rushed her to a private hospital where the doctors put her on oxygen.,???? ???? ???? ??? ??? ?? ???? ??????? ?? ?? ???? ???????? ?? ??? ??????? ??????,15,16,1
"""The end detection of the test is a simple colored reaction, which is easily visible in UV light, and now is being modified such that it can be detected in regular light.","??????? ?? ????? ?????? ????? ?? ??? ?? ?????? ????? ??????????? ???? ??, ?? ???? ?????? ??? ????? ?? ????? ???? ?? ?? ?? ??? ??????? ???? ?? ??? ?? ????? ?? ??? ?????? ?????? ??? ?? ??????? ???? ?? ????",32,41,9
Ankita Lokhande and Sushant Singh Rajput have made their television debut with Zee TVs show Pavitra Rishta.,?????? ?????? ?? ?????? ???? ?????? ????? ?? ???? ?? ?????? ?????? ??? ?? ??? ??? ???? ???,17,18,1
Mendel found support for this law in his dihybrid cross experiments.,?????? ?? ???? dihybrid ??? ???????? ??? ?? ????? ?? ??? ?????? ?????,11,13,2
And among the Desert-Arabs are those who consider their contribution to be a fine. And they wait for a reversal of your fortunes. Upon them will fall the cycle of misfortune. God is Hearing and Knowing.,?? ??? ????? ?????? (??? ?? ??? ?? ?? ??? ???? ??) ??? ??? ???? ???? ??? ??? ????? (????????) ????? ??? ?? ???????? ?? ??? (????? ??) ???????? ?? ???????? (???????? ???) ??? ?????? ?? (????? ??) ???? ?????? ??? ?? ???? ?? ?? ??? ????? ????? ??,36,49,13
"Ajinkya Rahane was dropped from ODIs, like you remove a fly from milk: Aakash Chopra","'??? ?? ????? ?? ??? ??????', ??????? ????? ?? ??? ?? ???? ???? ?? ????? ???? ??????",15,17,2
"""The cooperation in the plurilateral as well as multilateral context was also discussed during the Ministerial Dialogue and both sides expressed satisfaction at the increased level of our cooperation in this context.",??????????? ?? ????????? ???????? ??? ????? ?? ?? ?? ??????? ??????? ?????? ??? ????? ?? ?? ?? ????? ?????? ?? ?? ????? ??? ????? ??? ??? ??????? ?? ????? ??????,32,30,2
"Throughout the whole game, he did just that, he set the tone well with Stuart (Broad), and as a whole bowling group we were really, really good, said Root.","???? ??? ?? ????? ???? ??? ????, ???? ???????? (?????) ?? ??? ????? ????? ??? ????? ???? ?? ???? ???????? ???? ?? ????? ???????? ????.",29,25,4
"In politics, as in cricket, every star cannot end up as Kapil Dev or Sachin Tendulkar.",??????? ?? ??? ??????? ??? ?? ?? ?????? ??????? ?? ???? ???????? ???? ?? ????.,16,15,1
"It has been noticed that Art. 1(2) of the Model Law makes not only Art. 9 but also Articles 8, 35 and 36 of the Model Law applicable to such international arbitrations where the seat of arbitration is outside the country.","??????????????????????? ???????? 1(2) ?????????????9?? ????? ????????8, 35 ??36??????? ??????????????? ??????????? ?? ?????????????????? ????? ?????? ???????????????? ?????????",41,16,25
"During the medieval times, these temples witnessed mass destruction and were reduced to ruins.",??????? ??? ?? ????? ?????? ???? ??????? ??? ????? ?? ?? ???,14,12,2
"""The collaboration is just one of the initiatives being taken by the State Government, under the leadership of Chief Minister Capt Amarinder Singh, to promote e-mobility as a way to transform Punjabs transport system into a cleaner one.",???????? ??????????? ?????? ???????? ???? ?? ??????? ??? ????? ?? ??? ?? ? -???????? ?? ???????? ???? ?? ??? ???? ?? ??? ????? ??? ?? ?? ?? ?? ????? ?? ??????????? ??????? ?? ???? ?? ??? ??? ?????,38,38,0
Mehbooba cant keep J&K guessing on govt formation: Omar,?????-?????? ??? ????? ??? ?? ???? ??? ?? ??? ???? ?? ???? ?????? :???,9,14,5
Muzaffar Ahmad was the one to be sentenced to transportation for life.,??????? ???? ?? ????? ???????? ?? ??? ???? ??? ??.,12,10,2
We were very happy with the response we got.,?? ????????? ???? ???? ?? ?? ??? ????,9,8,1
"For this, taxpayers will need the CPC reference number and password thats mentioned on the notice","???? ??? ???????? ?? ?????? ?????? ?????? ?? ??????? ?? ????? ????, ?? ????? ?? ??????? ???? ???",16,18,2
Many people were reportedly injured.,?? ????? ?? ???? ???? ?? ????? ?? ??? ??? ???,5,11,6
"According to The Indian Express, Chief Minister Mehbooba Mufti had discussed the matter with Prime Minister Narendra Modi and Union Home Minister Rajnath Singh.",? ????? ?? ??????? ?? ??????? ??????????? ?????? ?????? ?? ?? ???? ??? ???????? ??? ?????? ?????? ???? ?? ???? ?? ??.,24,22,2
"""The industry also expressed its delight at the acknowledgement by the Finance Minister of its contribution towards employment generation.",??????? ?????? ?? ?????? ???? ?? ??????? ??? ???? ?????? ?? ????? ?????? ?????? ????? ???? ?? ?? ????????? ?????? ?? ???,19,22,3
"Vice President's Secretariat World Nations should arrive at a consensus in refusing shelter to economic fugitives and create a framework for Extradition Treaties and exchange of information on black money: Vice President While our economy is poised for unprecedented growth we should not lose sight of equity and ethics Bad loans have crippled many banks, this needs to be fixed quicklyCorporate ethics and value-based business should be given prominenceFocus on revitalizing agriculture bring in an inter-disciplinary approach to make agriculture sustainable and profitableDelivers keynote address and Presents Economic Times Awards for Corporate Excellence The Vice President of India, Shri M. Venkaiah Naidu has said that world nations, led by the UN, should arrive at a consensus in refusing shelter to economic fugitives and create a framework for Extradition Treaties and exchange of information on black money.","?? ?????????? ??????? ?????? ??????? ?? ??? ? ???? ?? ???? ?? ?? ????? ?? ????-?????? ?? ?????????? ??????? ?? ??? ??????? ????? ???? ?? ??? ?????? ?? ????? ?? ?? ????? ?? ??????? ?????? ??-?????????? ???? ????? ???????????? ????????? ????? ?? ??? ?? ?????? ??, ???? '???????' ?? '????????' ?? ????? ???? ????? ????????? ??? ?? ?? ?????? ?? ???? ??? ???????? ?? ???? ??, ??? ????? ??? ???? ?? ????? ?????????? ??????? ?? ????? ?????? ??????? ?? ???????? ?? ???? ????????? ?? ?????????? ???? ?? ????? ?? ???? ?? ?????? ????? ?? ?????? ??? ????? ?? ??? ?? ????-???????????? ????????? ???? ??????? ????? ?? ?????? ??????? ???? ?? ???????? ?????????? ?? ??? ???????? ?????? ???????? ?????? ??? ???????????? ???? ?? ??????? ????? ?? ??? ?? ?????? ??????? ?? ??? ? ???? ?? ?????????? ??????? ?? ??? ??????? ????? ???? ?? ???? ?? ?? ????? ?? ????-?????? ?? ???? ??????? ??????? ?? ??????? ??? ?????? ?? ????? ?? ?? ?? ??? ?? ??????? ??????",,,0
Assurances have not been fulfilled by the government: BJP,‘????? ????? ?? ???? ???? ??? ?????? ????’,9,8,1
"""The agreement was inked during the first India-China high-level meeting on bilateral security cooperation which was co-chaired by Home Minister Rajnath Singh and Zhao Kezhi, State Councilor and Minister of Public Security, China, in New Delhi.",?????? ??? ????????? ?????? ???? ?? ??? ?? ????????? ??????? ?????? ?? ?????? ??? ???? ?? ?? ????????? ??? ????-??? ?? ?????????? ??????? ????? ???? ?? ???? ?????????? ???? ??? ??? ?? ???? ?? ????? ???? ?? ??? ?? ??? ?? ?? ?? ??????? ??????? ??? ???? ?? ??????? ????? ????? ????? ?? ????? ????? ?? ?????? ????,,,0
And this number has been growing steadily over the decades.,???? ?? ??? ?? ?????? ?? ????? ?? ??? ???,10,10,0
"Dish TV aims to gradually increase the proportion of its revenues from its value-added services, said Vinay Agarwal, CEO, Dish TV",??? ???? ?? ????? ????????? ???? ??????? ?? ????? ?? ??? ???? ?? ???? ???? ?? ?????? ?? ???? ?????? ?? ????-???? ????? ???,21,24,3
My Palate Utters Truth,“ ??? ?? ?????? ?? ????? ?? ????? ???? ”,,10,10
"""There is no other go for us except increasing prices.",????? ??? ?????? ??? ??????? ?? ????? ??? ?? ???? ???? ???,10,12,2
"""The President of India, Shri Pranab Mukherjee paid homage to Shri Neelam Sanjiva Reddy, former President of India on hisBirth Anniversary at Rashtrapati Bhavan today (May 19, 2016).","???? ?? ??????????, ???? ????? ??????? ?? ?? (05??, 2016) ?????????? ??? ??? ???? ?? ???????? ?????????? ?????? ??? ???? ??100??? ???????? ?????? ??? ??? ?????",28,26,2
"Further, considering the requests received from stakeholders, country-wide lockdown situation due to Covid-19 and in line with the relaxations given on statutory and regulatory compliance in other sectors, the date for implementation of amendments in the Indian Stamp Act, 1899 brought through Finance Act 2019 and Rules made thereunder was further extended to 1st July, 2020 vide notifications dated 30th March, 2020.","???? ?????, ????????? ?? ??????? ???????? ??? ?????-19 ?? ???? ??? ?? ????????? ??????? ?? ?????? ?? ????? ??? ???? ??? ?? ???? ???????? ??? ??????? ??? ???????? ????????? ??? ?? ?? ????? ?? ?????? ????? ??????? 2019 ?? ?????? ?? ?????? ?????? ???????, 1899 ??? ??? ?? ???????? ?? ???? ??? ???? ?? ?????? ?? ???? ???? ?? ???? ?? ?? ?? ??? ?????? 1 ?????, 2020 ?? ???? ????",,,0
"He was given Rs 2 lakh cash, a citation and a shawl as the award.","???????? ?? ??? ??? ?????? ?? 2 ??? ?????, ?????? ????? ?? ???????????? ???? ????",15,15,0
"In June 2018, Pakistan was placed in the Grey list and given a 27-point action plan by the FATF.",????? ???? ??? ??? ??????? ?? ????????? ?? ???? ????? ??? ??? ???? ???,19,14,5
He was born in 1920.,"""?? ???? ?? ???? ????",5,5,0
I have never quit the job.,????? ??? ??? ???? ??? ???? ???? ???,6,8,2
"When Mountbatten had suggested this with reference to Junagadh, Patel had demurred: There was a grave disadvantage in being a plaintiff in such cases.","?? ????????? ?? ??????? ?? ?????? ??? ?? ????? ???? ??, ?? ???? ?? ?? ?? ?????? ???? ??: “??? ?????? ??? ??????? ???? ??? ????? ?????? ???",24,28,4
"As they follow the girls from party to party, it becomes clear that each parent has their own motivation.","????? ?? ???????? ?? ?????? ?? ???? ?????? ?? ???? ???? ???, ????? ?? ?????? ?? ???? ?? ?? ???????? ????-???? ?? ???? ??????? ???? ???",19,26,7
"A stream flows from the temple, widening as it goes, becoming a torrent by the time it enters the Dead Sea.",????? ????? ???????? ?????? ??? ??? ???? ???? ???? ?? ?,21,11,10
"However, some of the witnesses did not appear for the reasons that would be taken note of hereinafter at the appropriate stage.","???????, ?????? ??? ?? ??? ??? ?????? ?? ??? ?? ????? ???? ???, ?? ?????? ?? ????? ???? ???????, ???? ??? ???, ????? ??? ??? ?????.",22,26,4
It is a key achievement of the Narendra Modi government.,?? ???? ?? ??????? ???? ????? ?? ???? ??? ???,10,10,0
Chief Minister Vijay Rupani (Rajkot West) and Deputy Chief Minister Nitin Patel (Mehsana) trailed to the Congress early in the day before bouncing back and winning.,"??????????? ???? ??????(?????? ??????) ?? ?? ??????????? ????? ???? (???????) ?? ???? ???????? ??????????? ?? ??????? ????? ?? ??? ??, ????? ??? ??? ????? ?? ???? ?????",26,27,1
"""The series stars several actors who played the prominent role like Shweta Tripathi, Rasika Dugal, Kulbushna Kharbanda, Anjum Sharma and Amit Sialare.","????\\u200d? ??? ?????? ???\\u200d?? ?? ??? ???????? ????, ????? ??? ?????, ????? ???, ???? ?????? ?? ???? ????? ????\\u200d? ???????? ???? ??? ????",22,23,1
You are beyond redemption.,??? ???????? ??? ??? ???? ?? ???? ? ”,,9,9
This is an example of how far narrow provincialism can spread its poison.,????????? ?? ??? ??? ???? ?? ?? ???? ?? ???? ?? ?? ?????? ????,13,14,1
He is completely all in.,"""?? ???? ??? ?? ???????? ????",5,6,1
"Now that the Patiala and East Punjab States Union has come into being, 1 am anxious to tell you of the great personal regard I have always feJt for you, and how much I have throughout appreciated your sentiments towards me personally.","??. 9-4-1948 ?? ??????? ??? ????? ????? ?? ??????? ?? ??? ???????? ??? ? ??? ??, ????? ??? ?? ???? ????????? ?????? ?? ???? ??? ???? ??? ????? ???? ?? ??? ?????? ???, ?? ???? ????? ??? ?? ???? ?? ??? ??? ??? ??, ???? ????????? ??? ??? ???? ????? ?? ???????? ??? ??????? ?? ??, ???? ????? ???? ?? ???? ??? ???? ???",,,0
"Millions of people, from south to north, have been made aware of this issue through this Bharat Yatra.",?????? ?? ???? ????? ?? ?? ??????? ????? ?? ???? ?????? ?? ???? ?? ?????? ?? ???? ??? ?????? ???? ??? ???,18,22,4
"He said Bibi could walk free from jail in Sheikupura, near Lahore, immediately if not wanted in connection with any other case.",???????? ??? ?? ??? ????? ???? ???? ????? ??? ?????? ???? ??? ?? ?? ????? ????? ?? ???? ??????? ????? ??? ?? ????? ???? ?? ???? ????,22,27,5
